cycle,ambient_temperature,datetime,capacity,voltage_measured,current_measured,temperature_measured,current_load,voltage_load,time,batteryID,measured_power,load_power,power_difference,average_power,temperature_difference,measured_resistance,load_resistance,voltage_efficiency
1,24,2008-04-02 15:25:00,1.856487421,4.191491808,-0.004901589,24.33003389,-0.0006,0,0,1,-0.02054497014,0,-0.02054497014,-0.010272485,0.33003389,-855.1291852,0,0
12,24,2008-04-02 15:25:00,1.856487421,3.863479677,-2.013030234,26.07781486,-1.9982,2.935,199.219,1,-7.77730139825,-5.864717,1.91258439825,-6.821009199,2.07781486,-1.919235793,-1.46882194,75.96778669
13,24,2008-04-02 15:25:00,1.856487421,3.856660507,-2.013710499,26.25431462,-1.9982,2.93,217.391,1,-7.76619775402,-5.854726,1.91147175402,-6.810461877,2.25431462,-1.915201072,-1.466319688,75.9724636
21,24,2008-04-02 15:25:00,1.856487421,3.810696822,-2.01314003,27.61796452,-1.9982,2.892,362.906,1,-7.67146631456,-5.7787944,1.89267191456,-6.725130357,3.61796452,-1.892911951,-1.447302572,75.89163177
23,24,2008-04-02 15:25:00,1.856487421,3.801121633,-2.01466618,27.93132998,-1.9982,2.882,399.187,1,-7.65799120007,-5.7588124,1.89917880007,-6.7084018,3.93132998,-1.88672529,-1.442298068,75.81972581
25,24,2008-04-02 15:25:00,1.856487421,3.791448906,-2.01151422,28.2335031,-1.9982,2.872,435.484,1,-7.62655338882,-5.7388304,1.88772298882,-6.682691894,4.2335031,-1.884873032,-1.437293564,75.74940534
32,24,2008-04-02 15:25:00,1.856487421,3.758511492,-2.013465978,29.18458627,-1.9982,2.84,563.125,1,-7.56763501706,-5.674888,1.89274701706,-6.621261509,5.18458627,-1.866687361,-1.421279151,75.56182829
34,24,2008-04-02 15:25:00,1.856487421,3.749629203,-2.012847057,29.40274581,-1.9982,2.831,599.656,1,-7.54743010610,-5.6569042,1.89052590610,-6.602167153,5.40274581,-1.862848541,-1.416775098,75.50079879
35,24,2008-04-02 15:25:00,1.856487421,3.74516886,-2.012426283,29.4989651,-1.9982,2.827,617.875,1,-7.53687624814,-5.6489114,1.88796484814,-6.592893824,5.4989651,-1.861021639,-1.414773296,75.48391289
36,24,2008-04-02 15:25:00,1.856487421,3.741005009,-2.012455651,29.59370293,-1.9982,2.823,636.047,1,-7.52860667078,-5.6409186,1.88768807078,-6.584762635,5.59370293,-1.858925441,-1.412771494,75.46100562
